org,階級,出場回数,name_mnews,qid,label_ja,sherdog_id,match_confidence
deep,DEEP 73kg以下 5分2R,1,近藤有己,Q2090890,近藤有己,263,exact
deep,DEEPバンタム級 5分2R,1,春日井“寒天”たけし,Q116936024,春日井“寒天”たけし,49771,exact
deep,DEEPライト級 5分2R,1,石塚雄馬,,,,none
deep,DEEPフェザー級 5分2R,1,菊川イサム,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,RYOTA,,,,none
deep,DEEP JEWELS 50kg以下 5分3R,1,富松恵美,Q11456997,富松恵美,19272,exact
deep,DEEP JEWELS 52kg 2分3R KICKルール,1,きたりこ,,,,none
deep,DEEP JEWELS 52kg 2分3R KICKルール,1,MANAKA,,,,none
deep,DEEP JEWELSフェザー級 5分2R,1,谷山瞳,,,,none
deep,DEEP JEWELSミクロ級 5分2R,1,ジャカ季美香,,,,none
deep,DEEP JEWELS 51kg以下 3分2R アマチュアSルール,1,須山ゆな,,,,none
deep,DEEPライト級 5分2R,1,アサン・ゲェイデ,,,,none
deep,DEEPフライ級 5分2R,1,颯斗,,,,none
deep,DEEPバンタム級 5分2R,1,生田大雅,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,大和田龍斗,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,1,菅涼星,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,1,ダイア,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,岸翔大,,,,none
deep,DEEPフライ級 5分2R,1,原虎徹,Q113566892,原虎徹,375229,exact
deep,DEEP フライ級 5 分 2R,1,八尋大輝,,,,none
deep,DEEP バンタム級 5 分 2R,1,草野ガブリエル,,,,none
deep,DEEP フライ級 5 分 2R,1,中西哲夫,,,,none
deep,バンタム級 5 分 2R,1,野木崇政,,,,none
deep,DEEPライト級 5 分 2R,1,河村嘉展,,,,none
deep,DEEP フライ級 5 分 2R,1,髙村友晴,,,,none
deep,DEEPメガトン級 5 分 2R,1,もも太郎,,,,none
deep,DEEPバンタム級 5 分 2R,1,福井達郎,,,,none
deep,DEEP バンタム級 3 分 2R アマチュア S ルール,1,平山稔和,,,,none
deep,DEEP バンタム級 3 分 2R アマチュア S ルール,1,河野太喜,,,,none
deep,DEEPバンタム級 3 分 2R アマチュア S ルール,1,熊澤愛希也,,,,none
deep,DEEP フェザー級 3 分 2R アマチュア S ルール,1,西川玲司,,,,none
deep,DEEP ストロー級 3 分 2R アマチュア S ルール,1,大森仁,,,,none
deep,DEEP ストロー級 3 分 2R アマチュア S ルール,1,西村凛惺,,,,none
deep,フライ級決勝,1,須田雄律,,,,none
deep,フライ級決勝,1,遠藤一心,,,,none
deep,バンタム級決勝,1,ケンモーリス,,,,none
deep,フェザー級決勝,1,鈴木覇,,,,none
deep,フェザー級決勝,1,青井佑,,,,none
deep,ライト級決勝,1,大澤伸明,,,,none
deep,ウェルター級決勝,1,羽江哲郎,,,,none
deep,ミドル級決勝,1,足立光弘,,,,none
deep,ミドル級決勝,1,早川豊司,,,,none
pancrase,ウェルター級,,佐藤生虎,,,,none
pancrase,ライト級,,平信一,,,,none
pancrase,ライト級,,張豊,,,,none
pancrase,ライト級,,鈴木悠斗,,,,none
pancrase,フェザー級,,透暉鷹,,,,none
pancrase,フェザー級,,岡田拓真,,,,none
pancrase,フェザー級,,Ryo,,,,none
pancrase,フェザー級,,遠藤来生,,,,none
pancrase,フェザー級,,名田英平,,,,none
pancrase,フェザー級,,関 翔渚,,,,none
pancrase,フェザー級,,糸川義人,,,,none
pancrase,フェザー級,,石田陸也,,,,none
pancrase,バンタム級,,荒田大輝,,,,none
pancrase,バンタム級,,佐藤ゆうじ,,,,none
pancrase,バンタム級,,バラカトゥロ・アサドゥラエフ,,,,none
pancrase,バンタム級,,山木麻弥,,,,none
pancrase,バンタム級,,前田浩平,,,,none
pancrase,バンタム級,,合島大樹,,,,none
pancrase,バンタム級,,白井誠司,,,,none
pancrase,フライ級,,猿飛流,,,,none
pancrase,フライ級,,ラファエル・リベイロ,,,,none
pancrase,フライ級,,増田大河,,,,none
pancrase,フライ級,,浜本キャット雄大,,,,none
pancrase,フライ級,,植松洋貴,,,,none
pancrase,フライ級,,小林了平,,,,none
pancrase,フライ級,,菅歩夢,,,,none
pancrase,フライ級,,山崎蒼空,,,,none
pancrase,フライ級,,本川ハルアキ,,,,none
pancrase,ストロー級,,寺岡拓永,,,,none
pancrase,女子フライ級,,杉山しずか,Q7499482,杉山しずか,40759,exact
pancrase,女子フライ級,,和田綾音,,,,none
pancrase,女子フライ級,,ライカ,Q5371137,風神ライカ,176295,alias
pancrase,女子ストロー級,,本野美樹,Q112762438,本野美樹,317479,exact
pancrase,女子ストロー級,,KAREN,Q25266091,KAREN,225469,exact
pancrase,女子アトム級,,SARAMI,Q22973417,SARAMI,93835,exact
shooto,ストロー級,,旭那 拳,,,,none
shooto,ストロー級,,田口 恵大,,,,none
shooto,ストロー級,,友利 琉偉,,,,none
shooto,ストロー級,,友利 幸汰,,,,none
shooto,ストロー級,,梅木 勇徳,,,,none
shooto,フライ級,,杉本 静弥,,,,none
shooto,フライ級,,砂辺 光久,Q11264118,砂辺光久,2558,exact
shooto,フライ級,,梅筋 毒一郎,,,,none
shooto,フライ級,,山内 渉,,,,none
shooto,フライ級,,岡田 嵐士,,,,none
shooto,フライ級,,中池 武寛,,,,none
shooto,フライ級,,鈴木 尊,,,,none
shooto,バンタム級,,川北 晏生,,,,none
shooto,バンタム級,,チョウ スソン,,,,none
shooto,バンタム級,,藤井 伸樹,,,,none
shooto,バンタム級,,ダイキ ライトイヤー,,,,none
shooto,バンタム級,,中島 陸,,,,none
shooto,バンタム級,,野尻 定由,,,,none
shooto,フェザー級,,パク ジョンジュン,,,,none
shooto,フェザー級,,齋藤 翼,,,,none
shooto,フェザー級,,上原 平,,,,none
shooto,フェザー級,,磯城嶋 一真,,,,none
shooto,フェザー級,,飯野 雄斗,,,,none
shooto,フェザー級,,ネイン デイネッシュ,,,,none
shooto,ライト級,,結城 大樹,,,,none
shooto,ライト級,,安海 健人,,,,none
shooto,ライト級,,マックス・ザ・ボディ,,,,none
shooto,ライト級,,大尊 伸光,,,,none
shooto,ライト級,,田中 有,,,,none
shooto,ウェルター級,,ヴィクター バレンズエラ,,,,none
shooto,ウェルター級,,エルナニ ペルペトゥオ,,,,none
shooto,ウェルター級,,田村 ヒビキ,,,,none
shooto,ウェルター級,,グラップラー脇,,,,none
shooto,ミドル級,,岩﨑 大河,,,,none
shooto,ミドル級,,荒井 勇ニ,,,,none
shooto,ミドル級,,沙門,,,,none
shooto,ミドル級,,HENRY,,,,none
shooto,ミドル級,,キム ジェヨン,,,,none
shooto,女子アトム級,,青野 ひかる,Q55406545,青野ひかる,265437,exact
shooto,女子アトム級,,徳本 望愛,,,,none
shooto,女子アトム級,,中村 未来,,,,none
shooto,女子アトム級,,杉本 恵,,,,none
shooto,女子アトム級,,平田 彩音,,,,none
shooto,女子アトム級,,パク ソヨン,,,,none
shooto,女子アトム級,,ジェニー ファン,,,,none
shooto,女子アトム級,,嶋屋 澪,,,,none
shooto,女子スーパーアトム級,,渡辺 彩華,Q119517846,渡辺彩華,376966,exact
shooto,女子スーパーアトム級,,高本 千代,,,,none
shooto,女子スーパーアトム級,,erika,,,,none
shooto,女子スーパーアトム級,,村上 彩,Q122945610,村上彩,373053,exact
shooto,女子スーパーアトム級,,片山 智絵,,,,none
shooto,女子スーパーアトム級,,黒部 三奈,Q53764824,黒部三奈,119851,exact
shooto,女子スーパーアトム級,,SARAMI,Q22973417,SARAMI,93835,exact
shooto,女子ストロー級,,藤野 恵実,Q5371059,藤野恵実,10006,exact
shooto,女子ストロー級,,宝珠山 桃花,,,,none
shooto,女子ストロー級,,パク ボヒョン,,,,none
shooto,女子ストロー級,,ハイライ ウーシャアモー,,,,none
shooto,女子ストロー級,,ソルト,Q135689416,ソルト,398309,exact
shooto,女子ストロー級,,KAREN,Q25266091,KAREN,225469,exact
shooto,女子ストロー級,,高田 暖妃,,,,none
deep_champion_slot,ストロー級,,知名昴海,,,,none
deep_champion_slot,女子ストロー級,,万智,,,,none
deep_champion_slot,女子フライ級,,中井りん,Q3242787,中井りん,18887,exact
deep_champion_slot,女子バンタム級,,百湖,,,,none
deep_champion_slot,女子フェザー級,,東ようこ,,,,none
deep_champion_slot,女子無差別級,,アマンダ・ルーカス,,,,none
