slug	date	event	opponent	verdict	evidence_note
no-jiegiru	2011-06-26	World Championship MUAY THAI Matter of Pride	Lu Jian Cao	NOT_MMA	"大会名に""MUAY THAI""と明記されたムエタイ興行であり、MMA団体との関連は確認できない。"
no-jiegiru	2011-06-26	World Championship MUAY THAI Matter of Pride	Michael Badato	NOT_MMA	同上、大会名自体がムエタイ興行であることを示している。
yoshitaka-hiromu	1998-04-26	SHOOT the SHOOTO	ラモン・デッカー	NOT_MMA	shootboxing.org公式サイトで「シュートボクシングと修斗の合同興行」と説明されており、ja.wikipediaのシュートボクシング項目ではルールとして寝技(グラウンド)は含まれず立ち関節技も両足接地状態のみ有効と定義。相手のラモン・デッカーも総合格闘技経験のない純キックボクサーであり、寝技継続のない立ち技ルールでの対戦と判断。
zabito-samedofu	2009-11-14	HERO'S Lithuania 2009	ミンダウガス・サカラウスカス	NOT_MMA	ja.wikipediaでザビット・サメドフは「キックボクサー」と明記されるプロキックボクサー。「HERO'S」を冠するが日本のMMA団体とは無関係で、リトアニア・ヴィリニュス発のキックボクシング系「Hero's」シリーズ興行と見られる。
iotani-takashi	2010-10-02	新☆四角いジャングル 〜ミスター格闘技降臨!!〜もっともっと梶原一騎〜	バリー・ゲリン	NOT_MMA	検索結果でUKF(UKキックボクシング)ルールのスーパーミドル級タイトルマッチと明記されている。
iotani-takashi	2009-09-13	新☆四角いジャングル 〜ミスター格闘技降臨!!〜	相良正幸	INCONCLUSIVE	主催団体は興行ごとにキックボクシング/総合格闘技を使い分けており、この一戦単独のルール明記が見つからなかった。相手の相良正幸(拳月)は当時プロキックボクサーだった点はNOT_MMA寄りの傍証だが、一次資料での確定はできなかった。
sakai-hidenobu	2018-07-29	TRIBELATE Vol.56 酒井秀信 江戸川区凱旋 タワーホール船堀 格闘技大会	ぎーだ。	NOT_MMA	eFightの事前記事でこのメインイベントは「ボクシングルール」の対戦と明記されている。TRIBELATEはキックボクシング/ボクシング系興行団体。
yamamoto-genki	2010-12-30	戦極 Soul of Fight	カノンスック・ウィラサクレック	NOT_MMA	検索結果で「戦極ムエタイルールで対戦し0-3の判定負け」と明記されており、MMA団体・戦極(Sengoku)の名を冠するがムエタイルールの一戦と確認できる。
kuntapu-charonchai	2005-09-03	パンクラスZ in 熊本 2005	ニック・ヒョード	NOT_MMA	パンクラス公式興行内の一戦だが、ja.wikipedia「クンタップ・ウィラサクレック」の戦績表で当該試合は「キックボクシングルール（肘有り）」と明記されている。
pita-atsu	1992-10-04	格闘技オリンピックIII 〜カラテワールドカップ '92〜	佐竹雅昭	NOT_MMA	検索結果で「キックボクシングルールで対戦し引き分け」と明記されている。
pita-atsu	1992-05-14	リングス 光臨	アダム・ワット	NOT_MMA	adamu-watoの同カードと同一試合。YouTube解説・プロレス試合結果データベースともに「キックボクシングルール」と明記されている。
fadiru-shabari	2009-11-08	Heroes Fight Event	リーロイ・ケスナー	NOT_MMA	Tapologyで Muay Thai興行に分類される「Local Heroes Fight Night 2009」（オランダ・アペルドールン開催）の一戦。両者ともキックボクサー(リーロイ・ケスナーはK-1 World MAX欧州王者)であり、日本のMMA団体HERO'Sとは無関係。
shiza-takeshi	1990-08-26	東西最強対決異種格闘技戦	スティーブ・マッケイ	NOT_MMA	シーザー武志はシュートボクシング創始者で終始シュートボクサーとして活動。ja.wikipediaのシュートボクシング項目でルールは寝技を含まない立ち技系ハイブリッド格闘技(投げ・立ち関節技はあるが寝技継続なし)と定義されており、当該異種格闘技戦もこの範疇と判断(個別試合のルール明記する一次資料は見つからず)。
shiza-takeshi	1990-07-06	梶原一騎追悼'90格闘技の祭典異種格闘技戦	ジョニー・レイノルズ	NOT_MMA	シーザー武志は1985年創始のシュートボクシング(SB)創始者・現役選手で、SBは「投げ技・立った状態での関節技のみ可、寝技(グラウンド)なし」の立ち技系格闘技(ja.wikipedia「シュートボクシング」条目)。梶原一騎追悼興行は複数ルールの複合興行だが本人の出場種目はSB。
shiza-takeshi	1988-08-13	UWF 真夏の格闘技戦「THE PROFESSIONAL BOUT」異種格闘技戦	パーヤップ・プレムチャイ	NOT_MMA	UWF興行内のシーザー武志戦は本人の専門種目であるシュートボクシング(立ち技限定・寝技なし)ルールでの出場(prowrestlingdata.com結果ページ、ja.wikipedia「シュートボクシング」)。
shiza-takeshi	1987-12-05	「'87ファイナルマッチ SBvsカナダマーシャルアーツ5対5チェンジングマッチ」異種格闘技戦	デニス・クロフォード	NOT_MMA	大会名自体に「SB」(シュートボクシング)と明記されている団体対抗戦で、SBルールは寝技・グラウンド戦を含まない立ち技限定ルール(ja.wikipedia「シュートボクシング」)。
shiza-takeshi	1987-07-12	「格闘技スポーツ元年」（第4戦）全日本ホーク級タイトルマッチ	力忠勝	NOT_MMA	シーザー武志は「SBホーク級」初代王座保持者(検索結果より)であり本タイトルマッチはSB(シュートボクシング)ルール、寝技・グラウンド戦なしの立ち技限定。
shiza-takeshi	1987-05-30	「格闘技スポーツ元年」（第3戦）異種格闘技戦	ジェームズ・ホワイト	NOT_MMA	一次資料(記録サイトkirisame.point.ne.jp「870530_sb」＝当該試合をSB=シュートボクシングと明記)で確認、立ち技限定・寝技なしルール。
shiza-takeshi	1987-03-21	「格闘技スポーツ元年」（第2戦）異種格闘技戦	チャーリー・リア・チャオファー	NOT_MMA	同シリーズ第3戦がSB(シュートボクシング)戦と一次資料で確認されており、同一興行シリーズの同一選手の試合として同様にSBルール(立ち技限定)と判断。
shiza-takeshi	1987-01-31	「格闘技スポーツ元年」（第1戦） 異種格闘技戦	ジェームズ・バシム	NOT_MMA	同上。「格闘技スポーツ元年」シリーズはシーザー武志のSB(シュートボクシング)興行で、寝技・グラウンド戦のない立ち技限定ルール。
chingisu-arazofu	2019-10-12	Bellator Kickboxing 12	スッサコーン・ソー.クリンミー	NOT_MMA	大会名が明示的に「Bellator Kickboxing」。チンギス・アラゾフは元K-1王者のキックボクサーで、この一戦もキックボクシングルールでの契約体重戦(fight-report.com記事)。
chingisu-arazofu	2018-07-14	Bellator kickboxing 10	ジョルジオ・ペトロシアン	NOT_MMA	大会名が明示的に「Bellator kickboxing」。efight.jp記事も「ベラトールキックボクシング」と明記しキックボクシングルールでの試合と確認。
miku-144	2008-06-01	club DEEP 富山 -野蛮人祭り7-	レーナ	NOT_MMA	検索結果(Bout Wiki/RENA選手歴)で当該2008年6月1日のMIKU対RENA戦は「under kick boxing rules」と明記。同大会自体は通常MMA興行のclubDEEPだが本カードのみキックルール採用。
buraian-dauvisu	2005-11-20	Rings Kickboxing Gala	ロイ・ダイクショールン	NOT_MMA	大会名が「Rings Kickboxing Gala」と明示。Tapologyは同カード種のBrian Douwes対Roy Dijkshoornの試合を「Muay Thai Bout」に分類しており、Douwesはグローリー等で活動するオランダ人キックボクサー。
gukan-saki	2009-02-28	Rings Scentsation	アルンド・ブンク	NOT_MMA	en.wikipedia「Gökhan Saki」によれば2009年2月28日のArndt Bunk戦はWFCA世界ムエタイ(タイボクシング)スーパーヘビー級王座防衛戦。当時のサキは総合格闘技(UFC参戦は2017年以降)ではなく専業キックボクサー/ムエタイ選手。
hinata	2019-02-17	PANCRASE REBELS RING.1 NIGHT	シップムーン・シットシェフブンタム	NOT_MMA	ゴング格闘技・noteの取材記事によれば当該カードはREBELS(キックボクシング/ムエタイ団体)の70kg級タイトルマッチで、PANCRASEとの共催興行内の1カードとしてキックルールで実施。
hinata	2013-03-17	PANCRASE 246 (REBELS提供試合 キックルール)	安河内将一	NOT_MMA	大会名(カード表記)自体に「REBELS提供試合 キックルール」と明記されており、パンクラス興行内の提供カードとしてキックボクシングルールで行われた試合。
kato-hisaki	2016-06-25	Bellator 157	ジョー・シリング	NOT_MMA	ja.wikipedia「加藤久輝」に「Bellator157においてキックボクシングルールでジョー・シリングと再戦」と明記。
kamimura-erika	2010-12-30	戦極 Soul of Fight	ちはる	NOT_MMA	検索結果(ninomiyasports.com等)によれば「戦極ムエタイルール」(肘打ち可の女子ルール)での試合と明記。対戦相手ちはるはja.wikipedia上でも「キックボクサー」として立項。
ryou-pegasasu	2006-11-26	NO NAME HEROES 6 -GO GO UGO!-	ビリー藤原	NOT_MMA	ja.wikipedia「リョウ・ペガサス」によれば同選手は終始「空手、キックボクシング」を専門とし総合格闘技(MMA)戦績の記載は一切なし。大会自体の一次資料は特定できなかったが、選手の競技歴からキックボクシング興行と判断。
roeru-manato	2017-05-03	Rings Fighting Network Amstelveen	ニコ・ペレイラ・ホルタ	NOT_MMA	round1network.com等の一次記事で「A-klasse open」というオランダのキックボクシング階級区分での試合と明記され、「The event was a kickboxing competition」と確認。
roeru-manato	2016-10-22	RINGS Beverwijk 2016	トーマス・ブリッジウォーター	NOT_MMA	検索結果で「Roel Mannaart defeated Thomas Bridgewater as one of three consecutive wins on the Dutch kickboxing circuit」と明記。ロエル・マナートはグローリー所属のオランダ人キックボクサー。
atokawa-toshiyuki	1993-06-09	リングス「実験リーグ'93 Round3」	ボブ・シュライバー	NOT_MMA	後川聡之のWikipedia戦績表にこの一戦は明示的に「キックボクシングルール」と付記されており、RINGS初期の実験リーグ内の立ち技限定バウトと確認できる。
miyamoto-musashi	2010-12-30	戦極 Soul of Fight	小又大貴	NOT_MMA	Wikipedia「戦極 Soul of Fight」記事のカード欄にこの試合は「戦極ムエタイルール 73kg契約 3分3R」と明記されており、パンチ・キックのみの立ち技ルール。
ginti-bureda	2007-03-12	"Rings ""The Chosen Ones"""	ヘスディ・カラケス	NOT_MMA	Tapologyで「Rings Holland: The Chosen Ones」はキックボクシング興行と分類され、Ginty Vrede(ギンティ・ブレーダ) vs Hesdy Gerges(ヘスディ・カラケス/ゲルゲス)戦も「Kickboxing Bout」表記。旧RINGS(日本)閉幕後にオランダで再始動したキックボクシング興行で、MMA団体RINGSとは別物。
uoren-sutiburumanzu	2007-11-24	Rings Gala	Benito Caupain	NOT_MMA	Warren StevelmansはK-1/GLORY系のキックボクサーで、同大会「Rings Gala」(オランダ)は同選手の他戦歴と合わせ立ち技(キックボクシング)興行と確認。
uoren-sutiburumanzu	2007-09-23	Rings Holland - Risky Business	ウィリアム・ディンダー	NOT_MMA	この試合でWarren Stevelmansは「N.K.B.B.」(オランダキックボクシング連盟)の70kg王座を獲得したとの記載があり、キックボクシングルールの一戦と確認。
mika	2009-09-13	新☆四角いジャングル 〜ミスター格闘技降臨!!〜	古谷あさみ	NOT_MMA	☆MIKA☆のWikipedia戦績表でこの一戦の正式大会名は「〜【UKF女子キック日本フライ級王座決定戦】」であり、UKF女子キックボクシングの王座戦と確認。
oohama-yoshimi	2010-10-10	JEWELS 10th RING	能村さくら	NOT_MMA	この一戦は「シュートボクシングルール52kg」の試合とWeb検索で確認(能村さくら vs アリカ=大浜芳美)。JEWELSは女子MMA団体だが同カード内には別ルールのシュートボクシング枠があり、この試合はそちらに該当し寝技・関節技のない立ち技系ルール。
bada-hari	2004-12-12	Rings Fightgala 〜Born Invincible〜	ゲーリー・ターナー	NOT_MMA	YouTube等で「Rings Fightgala 2004 Badr Hari vs Gary Turner」とキックボクシング試合として記録されており、両者ともK-1系キックボクサー。RINGS Netherlandsは旧RINGS日本閉幕後のキックボクシング興行。
bada-hari	2003-09-27	Rings Fightgala	アントニー・ハードンク	NOT_MMA	Badr Hari・Antony Hardonkともに当時キックボクサーとして活動しており、同シリーズ「Rings Fightgala」(オランダ)はキックボクシング興行と確認(Wikipedia/検索結果)。
bada-hari	2003-03-30	Rings Fightgala 〜Heroes of the Next Generation〜	デニス・ストリイビス	NOT_MMA	Badr Hari vs Dennis Strijbisは判定によるキックボクシング試合として記録されており、同シリーズ「Rings Fightgala」はオランダのキックボクシング興行と確認。
yuika-iwanaga	2026-01-18	COLORS Produce by SHOOTO Vol.6	林未菜	NOT_MMA	修斗協会公式サイト等の情報でこの一戦は「CKC女子-49kgトーナメント1回戦 キックボクシングルール」と明記されており、SHOOTO(修斗)冠興行内のキックボクシング枠での試合。
ubamiyu	2023-09-24	DEEP HAMAMATSU IMPACT 2023	奥村琉奈	NOT_MMA	Web検索でこの一戦は「DEEP 46kg以下 Kick Rule」との記載が確認でき、Tapologyでも同大会の他カードは「Kickboxing & MMA Event」に分類。DEEP興行内のキックボクシング枠の試合。
m16	2011-11-05	修斗 SHOOTO the SHOOT 2011	北原史寛	NOT_MMA	選手本人(ナグラチューン・マーサM16)はシュートボクシング所属のSB Japanフェザー級王者で、Wikipedia戦績表でもこの一戦はキックボクシング記録欄に分類。「SHOOT the SHOOTO」はシュートボクシングと修斗の合同興行で、この試合はシュートボクシング側の立ち技ルール。
yamauchi-yuutarou	2010-12-30	戦極 Soul of Fight	横山剛	NOT_MMA	Wikipedia「戦極 Soul of Fight」記事のカード欄にこの試合は「戦極キックボクシングルール 70kg契約 3分3R」と明記。
fujihara-arashi	2010-12-30	戦極 Soul of Fight	江幡睦	NOT_MMA	Wikipedia「戦極 Soul of Fight」記事のカード欄にこの試合は「戦極ムエタイルール 52kg契約 3分5R」と明記。
matsushita-emi	2012-07-21	JEWELS 20th RING	伊藤紗弥	NOT_MMA	Tapologyでこの一戦「Saya Ito vs. Emi Matsushita, JEWELS: 20th Ring」は「Kickboxing Bout」と明確に分類されている。
ashizawa-ryuusei	2016-04-29	JAPAN KICKBOXING INNOVATION「Dream Force-11」	アトム山田	NOT_MMA	主催団体名自体が「Japan Kickboxing Innovation」であり、この試合は同団体の「Innovation Featherweight」王座(空位)を賭けたキックボクシングタイトルマッチとWikipedia等で確認。
ashizawa-ryuusei	2015-04-26	JAPAN KICKBOXING INNOVATION「Dream Force－7」	八神剣太	NOT_MMA	同上、主催「Japan Kickboxing Innovation」はキックボクシング専門団体で、「Dream Force」は同団体の興行シリーズ名。
tosuka-petoridisu	1998-03-15	PRIDE.2	ビッグ・ジョージ・ランドルフ	NOT_MMA	PRIDE.2は総合格闘技興行だが、トスカ・ペトリディスのWikipedia戦績表・BOUTREVIEWの大会結果表ともにこの一戦は「【スタンディングバウト】」と明記されており、寝技・関節技なしの立ち技限定エキシビション枠だった。
sasaki-daizo	2014-09-08	2014平江中日格闘技対抗戦	ジャン・ジョーウェン	NOT_MMA	選手はRISE/Krush/K-1所属のキックボクシング専門選手で公式サイト(rise-rc.com)の戦績も全てキックボクシング大会のみ。当該戦も「右ハイキックで1RKO」という立ち技の技のみで組み技要素の記載はない(ja.wikipedia、rise-rc.com)。
ishii-hirokazu	2009-06-07	CLUB DEEP OSAKA	あきんど大野	NOT_MMA	ja.wikipedia上で「日本の男性キックボクサー」と明記され総合格闘技の記載は一切なし。決着も「2R 1:38 KO（右ハイキック）」のみでキックの技のみ(ja.wikipedia)。
matsukura-shintaro	2010-12-30	戦極 Soul of Fight	池井佑丞	NOT_MMA	ニノミヤスポーツの記事で「70kg契約、戦極キックボクシングルール」と明記されている(ninomiyasports.com)。MMA団体「戦国(SENGOKU)」とは別の立ち技系興行。
wan-junguan	2017-03-25	Rise of Heroes: Hengyang	Shaxi	NOT_MMA	en.wikipediaのWang Junguang記事でこの一戦は「Kickboxing record」の表に掲載されており、MMA記録表は同記事に存在しない。
wan-junguan	2016-09-17	Rise of Heroes 1, 57kg Tournament Final	Feng Tianhao	NOT_MMA	同上。en.wikipediaのKickboxing record表に掲載され、Rise of HeroesはGlory of Heroes系列のキックボクシング興行(en.wikipedia)。
wan-junguan	2016-09-17	Rise of Heroes 1, 57kg Tournament Semifinals	Thanapon	NOT_MMA	同上。en.wikipediaのKickboxing record表に掲載。
maruko-pike	2006-11-12	2H2H - Pride & Honor	アルビアール・リマ	NOT_MMA	両選手ともムエタイ/キックボクシング系選手(マルコ・ピケはWPKLムエタイ王者、アルビアール・リマもキックボクサーとja.wikipediaに明記)。「2H2H」はロッテルダムAhoyで開催されるキックボクシング興行ブランドであることをFrank Lobman選手の経歴記事(en.wikipedia)で確認。
serugei-guru	2003-05-31	習志野ジム＆掣圏道協会「格闘技新世紀・夢 挑戦!」	内田ノボル	NOT_MMA	BOUTREVIEWの試合レポートで当該カードが「キックボクシング 3R3R」と明記されている(boutreview.com)。同カード内には「パンクラスルール」の試合も別途存在し、この一戦のみキックボクシングルールと明確に区別されている。
miyamoto-keisuke	2019-02-17	PANCRASE REBELS RING.1 DAY	KOUMA	NOT_MMA	Tapologyがイベント自体を「Kickboxing & Muay Thai Event」と分類しており、パンクラスとキックボクシング団体REBELSの合同興行だがルールはキックボクシング/ムエタイ(tapology.com)。
miyamoto-keisuke	2016-04-29	JAPAN KICKBOXING INNOVATION Dream Force-11	中務幸信	NOT_MMA	主催団体名に「KICKBOXING」を含み、選手もキックボクサーとして活動(efight.jp、kick-innovation.com)。総合格闘技団体ではない。
kawaguchi-yuusuke	2010-08-01	Club DEEP 八王子 II	竹村光一	NOT_MMA	GBR(gbring.com)の速報記事で「川口はキックボクシングルールで初挑戦しTKO勝ち」と明記。選手本人はDEEPメガトン級王者のMMA選手だが、この一戦のみキックボクシングルールでのクロスオーバー参戦と確認できる。
akarigsb	2009-12-11	JEWELS 6th RING	ASAKO	NOT_MMA	en.wikipediaのJewels 6th Ring記事でカード全体はMMAルール8試合+この一戦のみ「Shoot Boxing Rules」と明確に区別して記載されている。シュートボクシングは寝技・関節技を伴わない立ち技系競技。
kimura-takaaki	2010-03-14	ノースエリア格闘技イベント BOUT-VI	増倉敦	NOT_MMA	選手のja.wikipedia記事全体で「日本の男性キックボクサー」とのみ記載され、総合格闘技(MMA)の語は経歴・戦績表を通じて一切登場しない。BOUTはキックとMMA両方を開催する団体だが、本選手の全37戦がキックボクシング歴として一括記載されている点から判断。
kimura-takaaki	2009-03-15	ノースエリア格闘技イベント BOUT-IV	モンコンデート・ソーペエートーン	NOT_MMA	同上に加え、対戦相手名がタイ人選手特有の命名パターンであり、日本の地方キックボクシング/ムエタイ興行における外国人エキシビション参戦の典型例と判断(ja.wikipedia)。
kudo-red-reo	2019-02-17	REBELS『PANCRASE REBELS RING.1』	JIRO	NOT_MMA	Tapologyでイベントは「Kickboxing & Muay Thai Event」に分類され、選手個人もREBELS 64・REBELS 59等で継続的に「Muay Thai Bout」として出場しており、REBELS所属選手として一貫してムエタイルールで活動(tapology.com)。
