event	date	fighter	opponent	verdict	evidence_note
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	白雪 ゆき	石岡 真理絵	NOT_MMA	GIRLS KICK-43.5kg
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	谷田貝海吏	桜臥	NOT_MMA	JUNIOR-MUAYTHAI-50kg
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	YOSHIHIRO	小柳 俊和	NOT_MMA	PRO-KICK-58kg
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	森本 直哉	大島 広也	NOT_MMA	dup
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	横山典雄	白谷フィッシュ征也	NOT_MMA	PRO-KICK SUPERFEATHERWEIGHT-60kg
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	神谷 勇輝	CHIHIRO	NOT_MMA	OFG MUAY THAI-59kg
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	林 眞平	安達 元貴	NOT_MMA	dup
KROSS×OVER.28 新宿FACE	2024-11-10	平原 陸	星 幸樹	NOT_MMA	KICK PART
KROSS×OVER.28 新宿FACE	2024-11-10	彪羽	飯田 陸斗	NOT_MMA	KICK PART
KROSS×OVER.28 新宿FACE	2024-11-10	朝日彗仁	神谷 勇輝	NOT_MMA	KICK PART
KROSS×OVER.28 新宿FACE	2024-11-10	中澤 誠弥	鈴木 力也	NOT_MMA	KICK PARTメインイベント
KROSS×OVER.28 新宿FACE	2024-11-10	愛斗	YOSHIHIRO	NOT_MMA	KICK PART
KROSS×OVER.28 新宿FACE	2024-11-10	坂上 りま	傳法 里帆	NOT_MMA	GIRLS KICK PART
KROSS×OVER.28 新宿FACE	2024-11-10	怜虎	ウォーム ONE LINK	NOT_MMA	MUAY THAI PART
KROSS×OVER.28 新宿FACE	2024-11-10	髙口 賢史郎	ごりちゅう	NOT_MMA	KICK PART
KROSS×OVER.28 新宿FACE	2024-11-10	田中 康友	藤巻 心	NOT_MMA	KICK PART第2部
KROSS×OVER.28 新宿FACE	2024-11-10	YOSHIHIRO	愛斗	NOT_MMA	dup
KROSS×OVER.28 新宿FACE	2024-11-10	ブラックシーサー颯太朗	大久保 峻	NOT_MMA	KICK PART
KROSS×OVER.28 新宿FACE	2024-11-10	田中 秀汰	林 眞平	NOT_MMA	KICK PART
KROSS×OVER.28 新宿FACE	2024-11-10	大久保 祐	東山 廉	NOT_MMA	KICK PART
KROSS×OVER.28 新宿FACE	2024-11-10	神谷 勇輝	朝日 彗仁	NOT_MMA	dup
KROSS×OVER.28 新宿FACE	2024-11-10	林 眞平	田中 秀汰	NOT_MMA	dup
KROSS×OVER.28 新宿FACE	2024-11-10	鈴木 力也	中澤 誠弥	NOT_MMA	dup
KROSS×OVER.28 新宿FACE	2024-11-10	般若HASHIMOTO	石川 章太郎	NOT_MMA	KICK PART第2部メインイベント
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	撫子	松本 徐倫	NOT_MMA	PRO-GIRLSKICK-44.75kg
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	陸刃	須鎗 海羅	NOT_MMA	アマチュアムエタイ-57kg
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	鳰 翼	RYUTO	NOT_MMA	KICK Sクラス-65kg
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	鳰 陽斗	小林 啓吾	NOT_MMA	KICK Sクラス-63kg
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	紗耶香	小笠原 綾子	NOT_MMA	女子キック-51kg
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	訓 -NORI-	工藤 勇樹	NOT_MMA	KICKヘビー級タイトル
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	田中 康友	齊藤 蓮	NOT_MMA	AMATEUR-MUAYTHAI-49kg
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	森本 直哉	田中 秀汰	NOT_MMA	PRO-KICK-60kg
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	田中 秀汰	森本 直哉	NOT_MMA	dup
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	工藤 勇樹	訓 -NORI-	NOT_MMA	dup
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	渡部 蕾	曽我 好健	NOT_MMA	AMATEUR-MUAYTHAI-50kg
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	大久保 祐	士龍	NOT_MMA	AMATEUR-MUAYTHAI-52kg
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	獅子丸	笠原 秋澄	NOT_MMA	PRO-KICK-54kg
KROSS×OVER 20 ５周年記念-BATTLE OF THE NEW ERA-	2022-12-18	立嶋篤史	ベンツ飯田	NOT_MMA	PRO-MUAYTHAI-57.15kg
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	久郷トオル	牧山 陽一	NOT_MMA	KICK PART
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	若原 聖	夏目 竜雅	NOT_MMA	KICK PARTメインイベント
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	撫子	松本 徐倫	NOT_MMA	KICK PART
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	草野 浩二郎	松﨑 光輝	NOT_MMA	KICK PART
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	紗彩	Hiyori	NOT_MMA	KICK PART
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	田勢 ジャイル	菅野 真央	NOT_MMA	KICK PART
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	松本徐倫	撫子	NOT_MMA	dup
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	一輝	三上 聖也	NOT_MMA	KICK PART
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	HIYORI	紗彩	NOT_MMA	dup
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	遠山翔太	須藤 智也	NOT_MMA	KICK PART
KROSS×OVER CAGE.6 KICK PART・MMA PART	2025-07-13	夏目竜雅	若原 聖	NOT_MMA	dup
KROSS×OVER 12	2021-06-06	松本 徐倫	田島 美咲	NOT_MMA	ガールズKICK
KROSS×OVER 12	2021-06-06	緒方 惇	安部 路人	NOT_MMA	KICK BOXING
KROSS×OVER 12	2021-06-06	MASA BRAVELY	藤原 あらし	NOT_MMA	MUAY THAI
KROSS×OVER 12	2021-06-06	小野琥大	SORAランバー・ルークカムイ	NOT_MMA	ジュニアムエタイ
KROSS×OVER 12	2021-06-06	眞暢	菊地 陽太	NOT_MMA	メインイベントKICK
KROSS×OVER 12	2021-06-06	藤本新	宮城 政之	NOT_MMA	KICK BOXING
KROSS×OVER 12	2021-06-06	坂本 寿希	水野 一矢	NOT_MMA	KICK BOXING
KROSS×OVER 12	2021-06-06	谷津 晴之	シンイチ・ウォーワンチャイ	NOT_MMA	ムエタイ対抗戦
KROSS×OVER 12	2021-06-06	藤原あらし	MASA BRAVELY	NOT_MMA	dup
KROSS×OVER 12	2021-06-06	AKIRA	ケイシー	NOT_MMA	KICK BOXING
KROSS×OVER CAGE.5 KICK・MMA PART	2025-03-09	若原 聖	中澤 誠弥	NOT_MMA	KICK PART
KROSS×OVER CAGE.5 KICK・MMA PART	2025-03-09	草野 浩二郎	小佐野 翔	NOT_MMA	KICK PART
KROSS×OVER CAGE.5 KICK・MMA PART	2025-03-09	朝日彗仁	森本 直哉	NOT_MMA	KICK PART
KROSS×OVER CAGE.5 KICK・MMA PART	2025-03-09	田勢 ジャイル	松下 龍義	NOT_MMA	KICK PART
KROSS×OVER CAGE.5 KICK・MMA PART	2025-03-09	中澤 誠弥	若原 聖	NOT_MMA	dup
KROSS×OVER CAGE.5 KICK・MMA PART	2025-03-09	森本 直哉	朝日 彗仁	NOT_MMA	dup
KROSS×OVER 4	2018-10-20	旭野 穂	大出 剛生	NOT_MMA	KICK王座T決勝
KROSS×OVER 4	2018-10-20	堀井 翼	中尾 満	NOT_MMA	KICKセミファイナル
KROSS×OVER 4	2018-10-20	勇治	花塚 智雄	NOT_MMA	KICK -60kg
KROSS×OVER 4	2018-10-20	緒方 惇	野村 一男	NOT_MMA	KICK -67kg
KROSS×OVER 4	2018-10-20	獅子丸	Simon TSE	NOT_MMA	KICK -53kg
KROSS×OVER 4	2018-10-20	中尾満	堀井 翼	NOT_MMA	dup
KROSS×OVER 2	2018-02-25	旭野 穂	下東 悠馬	NOT_MMA	KICK王座T一回戦
KROSS×OVER 2	2018-02-25	冨沢 貴人	我謝 真人	NOT_MMA	KICK王座T一回戦
KROSS×OVER 2	2018-02-25	堀井 翼	高橋 裕三	NOT_MMA	Kickboxing-65kg
KROSS×OVER 2	2018-02-25	アンドリュー"KEN"ブリュースター	須賀 裕一朗	NOT_MMA	Kickboxing-58kg
KROSS×OVER 2	2018-02-25	中平 卓見	中尾 暢夫	NOT_MMA	Kickboxing-78kg
KROSS×OVER -CAGE- GENスポーツパレス大会	2023-06-11	鈴木 健太郎	松信 亮次	NOT_MMA	PRO-KICK-76kg
KROSS×OVER -CAGE- GENスポーツパレス大会	2023-06-11	森本一陽	實方拓海	NOT_MMA	PRO-KICK-69kg
KROSS×OVER -CAGE- GENスポーツパレス大会	2023-06-11	TOMO	貫井 義規	MMA	MMA FEATHERWEIGHT
KROSS×OVER -CAGE- GENスポーツパレス大会	2023-06-11	藤本新	中井 光義	MMA	MMA部門
KROSS×OVER -CAGE- GENスポーツパレス大会	2023-06-11	山根 武夫	加賀 丞	NOT_MMA	PRO-KICK HEAVYWEIGHT
KROSS×OVER CAGE4＆Level-G PRO	2024-11-10	吉田 圭佑	岡田 仁	NOT_MMA	PRO-KICK-65kg
KROSS×OVER CAGE4＆Level-G PRO	2024-11-10	藤本新	平田 学	NOT_MMA	PRO-KICK-75kg
KROSS×OVER.35 新宿FACE大会	2026-04-19	清水俊貴	鈴木 力也	NOT_MMA	Fight13 Superbantamweight
KROSS×OVER.35 新宿FACE大会	2026-04-19	彪羽	竜雅	NOT_MMA	Fight13 Fly級T準決勝
KROSS×OVER.35 新宿FACE大会	2026-04-19	武 裕太	石川 蓮太	NOT_MMA	Fight11 OFG Muay Thai
KROSS×OVER.35 新宿FACE大会	2026-04-19	横山 晏輝	アックス斧田	NOT_MMA	Semi-Final Superfeatherweight
KROSS×OVER.35 新宿FACE大会	2026-04-19	SEIDO	ヤン マイケル	NOT_MMA	Semi-Final Lightweight T決勝
KROSS×OVER.35 新宿FACE大会	2026-04-19	白雪 ゆき	KAI	NOT_MMA	Girls Kick Atomweight
KROSS×OVER.35 新宿FACE大会	2026-04-19	髙口 賢史郎	andrew	NOT_MMA	Superfeatherweight
KROSS×OVER.35 新宿FACE大会	2026-04-19	谷田貝海吏	横山 琉希	NOT_MMA	Kick S-Class
KROSS×OVER.35 新宿FACE大会	2026-04-19	杉山豪基	新川 祥太	NOT_MMA	-56kg
KROSS×OVER.35 新宿FACE大会	2026-04-19	アックス斧田	横山 晏輝	NOT_MMA	dup
KROSS×OVER.35 新宿FACE大会	2026-04-19	酒井柚樹	山本 蓮	NOT_MMA	Fly級T準決勝
KROSS×OVER.35 新宿FACE大会	2026-04-19	金子 桂	東 義和	NOT_MMA	Kick S-Class
KROSS×OVER.35 新宿FACE大会	2026-04-19	竜雅	彪羽	NOT_MMA	dup
KROSS×OVER.35 新宿FACE大会	2026-04-19	KAI	白雪 ゆき	NOT_MMA	dup
KROSS×OVER.35 新宿FACE大会	2026-04-19	KENTA	平田 学	NOT_MMA	Middleweight
KROSS×OVER.35 新宿FACE大会	2026-04-19	浅井春香	本田 ななか	NOT_MMA	Girls Kick
KROSS×OVER.35 新宿FACE大会	2026-04-19	鈴木 力也	清水 俊貴	NOT_MMA	dup
KROSS×OVER.35 新宿FACE大会	2026-04-19	稲村 健心	山田 莉玖	NOT_MMA	Kick S-Class
KROSS×OVER.35 新宿FACE大会	2026-04-19	本田ななか	浅井 春香	NOT_MMA	dup
KROSS×OVER.35 新宿FACE大会	2026-04-19	貴哉	白谷フィッシュ征也	NOT_MMA	-59kg
KROSS×OVER.35 新宿FACE大会	2026-04-19	バシ・カニ・エビ	中路 悠斗	NOT_MMA	Superwelterweight
KROSSxOVER-CAGE.8	2025-12-14	草野 浩二郎	三橋 暖希	NOT_MMA	実体はKROSS×OVER.34 FINAL、KICK Sクラス
KROSSxOVER-CAGE.8	2025-12-14	山元剣心	森本 直哉	NOT_MMA	PRO-KICK FEATHERWEIGHT
KROSSxOVER-CAGE.8	2025-12-14	武 裕太	田中 勇利	NOT_MMA	PRO-KICK SUPERLIGHTWEIGHT
KROSSxOVER-CAGE.8	2025-12-14	谷田貝海吏	落合 靖将	NOT_MMA	KICK Sクラス
KROSSxOVER-CAGE.8	2025-12-14	森本一陽	吉宗	NOT_MMA	PRO-KICK SUPERWELTERWEIGHT
KROSSxOVER-CAGE.8	2025-12-14	森本 直哉	山元 剣心	NOT_MMA	dup
KROSSxOVER-CAGE.8	2025-12-14	坂本 寿希	坂本 誠弥	MMA	KROSS×OVER MMA Sクラス-56.7kg明記
KROSSxOVER-CAGE.8	2025-12-14	岡田 彬宏	佐藤 洸杜	NOT_MMA	MUAYTHAI LIGHTWEIGHT
KROSSxOVER-CAGE.8	2025-12-14	吉宗	森本 一陽	NOT_MMA	dup
KROSSxOVER-CAGE.8	2025-12-14	佐野 純平	岡部 祥太	NOT_MMA	PRO-KICK -64kg
KROSSxOVER-CAGE.8	2025-12-14	井原 駿平	レイ	NOT_MMA	PRO-MUAY THAI
KROSSxOVER-CAGE.8	2025-12-14	齊藤 律	重田 友希	NOT_MMA	PRO-KICK FEATHERWEIGHT
KROSS×OVER-CAGE.7	2025-12-14	白雪 ゆき	岩切 菜々美	NOT_MMA	実体は2025-11-16開催CAGE.7 KICK PART
KROSS×OVER-CAGE.7	2025-12-14	谷田貝海吏	三橋 暖希	NOT_MMA	KICK PART S級-55kg
KROSS×OVER-CAGE.7	2025-12-14	小倉 えりか	熊谷 麻理奈	NOT_MMA	KICK PART Girls Muaythai
『KROSS×OVER.27』公式記録	2024-10-06	哲志	大谷 真弘	NOT_MMA	PRO-KICK WELTERWEIGHT
『KROSS×OVER.27』公式記録	2024-10-06	藤橋 光	辰次郎	NOT_MMA	PRO-KICK SUPERFEATHER
『KROSS×OVER.27』公式記録	2024-10-06	斎藤 千種	辻井 和花	NOT_MMA	GIRLS-KICK
『KROSS×OVER.27』公式記録	2024-10-06	辻井和花	斎藤 千種	NOT_MMA	dup
『KROSS×OVER.27』公式記録	2024-10-06	坂上 りま	内藤 未宇	NOT_MMA	GIRLS KICK Sクラス
『KROSS×OVER.27』公式記録	2024-10-06	横山 晏輝	松下 竜之助	NOT_MMA	PRO-KICK FEATHERWEIGHT
『KROSS×OVER.27』公式記録	2024-10-06	一輝	仙一	NOT_MMA	PRO-KICK SUPERFEATHER
『KROSS×OVER.27』公式記録	2024-10-06	怜虎	オーシャン・ウジハラ	NOT_MMA	MUAY THAI LIGHTWEIGHT
『KROSS×OVER.27』公式記録	2024-10-06	植村 真弥	針谷 耕	NOT_MMA	PRO-KICK HEAVYWEIGHT
『KROSS×OVER.27』公式記録	2024-10-06	針谷 耕	植村 真弥	NOT_MMA	dup
『KROSS×OVER.27』公式記録	2024-10-06	田上健太	石川 章太郎	NOT_MMA	OFG MUAY THAI
『KROSS×OVER.27』公式記録	2024-10-06	Yo-hei	海登	NOT_MMA	KICK Sクラス
『KROSS×OVER.27』公式記録	2024-10-06	山本"魂武羅"知美	KOKOZ	NOT_MMA	GIRLS MUAY THAI
『KROSS×OVER.27』公式記録	2024-10-06	松下竜之助	横山 晏輝	NOT_MMA	dup
『KROSS×OVER.27』公式記録	2024-10-06	田中 将士	土屋 信志	NOT_MMA	PRO KICK
『KROSS×OVER.27』公式記録	2024-10-06	坂尻桃音	登島 優音	NOT_MMA	PRO-GIRLS KICK FLYWEIGHT
『KROSS×OVER.27』公式記録	2024-10-06	KOKOZ	山本"魂武羅"知美	NOT_MMA	dup
『KROSS×OVER.27』公式記録	2024-10-06	坂根 卓弥	小山内 大輝	NOT_MMA	PRO-MUAYTHAI
『KROSS×OVER.27』公式記録	2024-10-06	辰次郎	藤橋 光	NOT_MMA	dup
『KROSS×OVER.27』公式記録	2024-10-06	登島優音	坂尻 桃音	NOT_MMA	dup
KROSS×OVER 16	2022-03-06	戸田龍将	早川 淳也	NOT_MMA	Pro-Muaythai
KROSS×OVER 16	2022-03-06	勇治	斉藤 遼太	NOT_MMA	Pro-Kick
KROSS×OVER 16	2022-03-06	石川 慶	勇成	NOT_MMA	Pro-Kick
KROSS×OVER 16	2022-03-06	田中 康友	杉山 海瑠	NOT_MMA	Junior Muaythai
KROSS×OVER 16	2022-03-06	柿﨑 瑠	須鎗 海羅	NOT_MMA	Amateur Muaythai
KROSS×OVER 16	2022-03-06	田中 秀汰	渦巻 DATE	NOT_MMA	Pro-Kick
KROSS×OVER 16	2022-03-06	勇成	石川 慶	NOT_MMA	dup
KROSS×OVER 16	2022-03-06	工藤 勇樹	庵谷"出美流漫"鷹志	NOT_MMA	KICK Heavyweight Title
KROSS×OVER 16	2022-03-06	渡部 蕾	曽我 好健	NOT_MMA	Junior Muaythai
KROSS×OVER 16	2022-03-06	大久保 祐	裕次郎	NOT_MMA	Junior Muaythai
KROSS×OVER 16	2022-03-06	高橋 幸光	畠山 育朗	NOT_MMA	Pro-Muaythai
KROSS×OVER 16	2022-03-06	中平 卓見	山根 武夫	NOT_MMA	Pro-Kick Heavyweight
KROSS×OVER 16	2022-03-06	山根 武夫	中平 卓見	NOT_MMA	dup
KROSS×OVER 3	2018-07-01	緒方 惇	ポッシブルＫ	NOT_MMA	boutreview Kick Bouts -65kg
KROSS×OVER.30	2025-04-06	平原 陸	大久保 峻	NOT_MMA	PRO-KICK FLYWEIGHT
KROSS×OVER.30	2025-04-06	清水俊貴	横山 晏輝	NOT_MMA	PRO-KICK FEATHERWEIGHT
KROSS×OVER.30	2025-04-06	吉田 圭佑	ゴングマン	NOT_MMA	PRO-KICK SUPERLIGHTWEIGHT
KROSS×OVER.30	2025-04-06	小西江美香	村田 萌衣	NOT_MMA	GIRLS KICK
KROSS×OVER.30	2025-04-06	彪羽	川野 龍輝	NOT_MMA	PRO-KICK
KROSS×OVER.30	2025-04-06	永松進之介	怜虎	NOT_MMA	KICK T準決勝
KROSS×OVER.30	2025-04-06	鳰 翼	北原 有起	NOT_MMA	PRO-KICK
KROSS×OVER.30	2025-04-06	安達 元貴	田中 秀汰	NOT_MMA	PRO-KICK SUPERFEATHER
KROSS×OVER.30	2025-04-06	横山 晏輝	清水 俊貴	NOT_MMA	dup
KROSS×OVER.30	2025-04-06	渋谷 茜	グウェンドリン・ルジェフスキー	NOT_MMA	GIRLS KICK
KROSS×OVER.30	2025-04-06	原田 ゆうな	まりも	NOT_MMA	PRO-GIRLS KICK
KROSS×OVER.30	2025-04-06	北原 有起	鳰 翼	NOT_MMA	dup
KROSS×OVER.30	2025-04-06	谷田貝海吏	孫田 歩我	NOT_MMA	JUNIOR-MUAYTHAI
KROSS×OVER.30	2025-04-06	川野 龍輝	彪羽	NOT_MMA	dup
KROSS×OVER.30	2025-04-06	田中 秀汰	安達 元貴	NOT_MMA	dup
KROSS×OVER.30	2025-04-06	吉宗	新井 惇之	NOT_MMA	PRO-KICK SUPERWELTERWEIGHT
KROSS×OVER.30	2025-04-06	中平 卓見	がやお	NOT_MMA	PRO-KICK HEAVYWEIGHT
KROSS×OVER.30	2025-04-06	智史	小柳 俊和	NOT_MMA	PRO-KICK
KROSS×OVER.30	2025-04-06	鈴木 翔大	中村 玲人	NOT_MMA	JUNIOR-MUAYTHAI
KROSS×OVER.32	2025-09-28	純樹	オーガニック菊﨑	NOT_MMA	PART2 Welterweight Kickboxing
KROSS×OVER.32	2025-09-28	平原 陸	斎藤 龍鬼	NOT_MMA	PART2 Flyweight Kickboxing T
KROSS×OVER.32	2025-09-28	清水俊貴	夏目 竜雅	NOT_MMA	PART2 Superbantamweight
KROSS×OVER.32	2025-09-28	オカハン バラ	KENTA	NOT_MMA	PART2 Middleweight
KROSS×OVER.32	2025-09-28	中澤 誠弥	水野 一矢	NOT_MMA	PART2 Superbantamweight
KROSS×OVER.32	2025-09-28	安達 元貴	ハルク大城	NOT_MMA	PART2 Superfeatherweight Title
KROSS×OVER.32	2025-09-28	横山 晏輝	怜虎	NOT_MMA	PART2 Featherweight Title
KROSS×OVER.32	2025-09-28	杉山豪基	横山みさと	NOT_MMA	PART2 Kickboxing
KROSS×OVER.32	2025-09-28	酒井柚樹	大久保 峻	NOT_MMA	PART2 Flyweight T
KROSS×OVER.32	2025-09-28	田中 秀汰	白谷フィッシュ征也	NOT_MMA	PART2 Superfeatherweight
KROSS×OVER.32	2025-09-28	KENTA	オカハン・バラ	NOT_MMA	dup
KROSS×OVER.32	2025-09-28	MIO LaReyna	亀井 美子	NOT_MMA	PRO-GIRLS KICK
KROSS×OVER.32	2025-09-28	夏目竜雅	清水 俊貴	NOT_MMA	dup
KROSS×OVER 18	2022-07-31	渡部 翔太	畠山 育朗	NOT_MMA	Pro Muaythai
KROSS×OVER 18	2022-07-31	鳰 翼	冨田 賢輔	NOT_MMA	KICK S-class
KROSS×OVER 18	2022-07-31	雅治	佳功	NOT_MMA	Pro Kick
KROSS×OVER 18	2022-07-31	堀井 翼	中泉 翔	NOT_MMA	Pro Kick
KROSS×OVER 18	2022-07-31	鳰 陽斗	村松 宏昌	NOT_MMA	KICK S-class
KROSS×OVER 18	2022-07-31	石川 慶	森本 直哉	NOT_MMA	Pro Kick
KROSS×OVER 18	2022-07-31	森本 直哉	石川 慶	NOT_MMA	dup
KROSS×OVER 18	2022-07-31	藤本新	GUNTHER KALUNDA	MMA	MMA -82kg明記
KROSS×OVER 18	2022-07-31	田中 秀汰	小林 京介	NOT_MMA	Pro Kick
KROSS×OVER 18	2022-07-31	矢島 直弥	山口 隆弥	NOT_MMA	KICK T準決勝
KROSS×OVER 18	2022-07-31	獅子丸	齊藤 友	NOT_MMA	Pro Kick
KROSSxOVER-CAGE.3	2024-04-21	平原 陸	紀空	NOT_MMA	Kickバンタム
KROSSxOVER-CAGE.3	2024-04-21	海凪	星 幸樹	NOT_MMA	Kick
KROSSxOVER-CAGE.3	2024-04-21	彪羽	小野 祥平	NOT_MMA	Kickバンタム
KROSSxOVER-CAGE.3	2024-04-21	藤橋 光	林 眞平	NOT_MMA	Kickスーパーフェザー
KROSSxOVER-CAGE.3	2024-04-21	安達 元貴	仙一	NOT_MMA	Kickスーパーバンタム
KROSSxOVER-CAGE.3	2024-04-21	横山 晏輝	神谷 勇輝	NOT_MMA	フェザー級挑戦者T KICK
KROSSxOVER-CAGE.3	2024-04-21	夜叉猿	小松 幸粋	NOT_MMA	Kickミドル級タイトル
KROSSxOVER-CAGE.3	2024-04-21	髙口 賢史郎	田中 勇利	NOT_MMA	Kick
KROSSxOVER-CAGE.3	2024-04-21	田中 康友	松﨑 光輝	NOT_MMA	Kick S級
KROSSxOVER-CAGE.3	2024-04-21	森本 直哉	小山内 大輝	NOT_MMA	Kick
KROSSxOVER-CAGE.3	2024-04-21	神谷 勇輝	横山 晏輝	NOT_MMA	dup
KROSSxOVER-CAGE.3	2024-04-21	KENTA	濱辺 稜矢	NOT_MMA	Kick
KROSSxOVER-CAGE.3	2024-04-21	林 眞平	藤橋 光	NOT_MMA	dup
KROSSxOVER-CAGE.3	2024-04-21	鈴木 力也	獅子丸	NOT_MMA	Kickスーパーバンタム
KROSSxOVER-CAGE.3	2024-04-21	今井 良次	ハリィ永田	NOT_MMA	プロムエタイバンタム
KROSSxOVER-CAGE.3	2024-04-21	獅子丸	鈴木 力也	NOT_MMA	dup
KROSSxOVER-CAGE.3	2024-04-21	小野祥平	彪羽	NOT_MMA	dup
【KROSS×OVER.36】試合結果&レポート	2026-07-05	瀧山 悠斗	小野 祥平	NOT_MMA	バンタム級T準決勝KICK
【KROSS×OVER.36】試合結果&レポート	2026-07-05	彪羽	酒井 柚樹	NOT_MMA	フライ級T決勝KICK
【KROSS×OVER.36】試合結果&レポート	2026-07-05	武 裕太	石川 章太郎	NOT_MMA	OFG-KICKルール
【KROSS×OVER.36】試合結果&レポート	2026-07-05	中澤 誠弥	森本 直哉	NOT_MMA	KICK
【KROSS×OVER.36】試合結果&レポート	2026-07-05	夏気	andrew	NOT_MMA	KICK
【KROSS×OVER.36】試合結果&レポート	2026-07-05	安達 元貴	ハルク大城	NOT_MMA	スーパーフェザー級タイトルKICK
【KROSS×OVER.36】試合結果&レポート	2026-07-05	坂上 りま	田中 真尋	NOT_MMA	KICK
【KROSS×OVER.36】試合結果&レポート	2026-07-05	菊地美乃里	岩本 蘭	NOT_MMA	女子アトム級タイトルKICK
【KROSS×OVER.36】試合結果&レポート	2026-07-05	遠山翔太	鬼久保 海斗流	NOT_MMA	KICK
【KROSS×OVER.36】試合結果&レポート	2026-07-05	森本 直哉	中澤 誠弥	NOT_MMA	dup
【KROSS×OVER.36】試合結果&レポート	2026-07-05	酒井柚樹	彪羽	NOT_MMA	dup
【KROSS×OVER.36】試合結果&レポート	2026-07-05	神谷 勇輝	石川 蓮太	NOT_MMA	KICK
【KROSS×OVER.36】試合結果&レポート	2026-07-05	本田ななか	MOMO	NOT_MMA	KICK
【KROSS×OVER.36】試合結果&レポート	2026-07-05	MOMO	本田 ななか	NOT_MMA	dup
【KROSS×OVER.36】試合結果&レポート	2026-07-05	小野祥平	瀧山 悠斗	NOT_MMA	dup
KROSS×OVER.24 -2023 CLIMAX-	2023-12-17	平原 陸	陸刃	NOT_MMA	Kick
KROSS×OVER.24 -2023 CLIMAX-	2023-12-17	陸刃	平原 陸	NOT_MMA	dup
KROSS×OVER.24 -2023 CLIMAX-	2023-12-17	YOSHIHIRO	小山内 大輝	NOT_MMA	Kick S級
KROSS×OVER.24 -2023 CLIMAX-	2023-12-17	渋江 健司	コウキ・オーチャロンチャイ	NOT_MMA	ムエタイ級
KROSS×OVER.24 -2023 CLIMAX-	2023-12-17	テレカ∞	石川 章太郎	NOT_MMA	ライト級タイトルKICK
KROSS×OVER.24 -2023 CLIMAX-	2023-12-17	工藤 勇樹	中平 卓見	NOT_MMA	ヘビー級タイトルKICKメイン
KROSS×OVER.24 -2023 CLIMAX-	2023-12-17	中平 卓見	工藤 勇樹	NOT_MMA	dup
KROSS×OVER.24 -2023 CLIMAX-	2023-12-17	Uver∞miyU	ロウ・イツブン	NOT_MMA	Girls Kick
KROSS×OVER.24 -2023 CLIMAX-	2023-12-17	宇野 あいり	久保薗 彩	NOT_MMA	Girls Kick
